City,AQI,Precipitation,GDP,Temperature,Longititute,Latitude,Altitude,PopulationDensity,Coastal,GreenCoverageRate,"Incineration(10,000ton)"
Pu'er City,32,477,120,21,101,23,1330,58,no,36,8
Putian City,31,1775,1655,22,119,25,15,2570,yes,42,43
Puyang City,77,458,1334,15,115,36,55,3384,no,38,22
Qamdo City,31,478,136,8,97,31,3230,5714,no,8,4
Qianjiang Country,90,1200,557,16,113,30,32,1333,no,37,13
Qingdao City,65,720,9300,14,120,36,6,1723,yes,43,185
Qingyang County,23,617,80,16,118,30,772,225,no,36,14
Qingyuan City,22,878,1285,21,113,24,14,1940,no,35,31
Qinhuangdao City,163,878,1250,11,120,40,4,412,yes,29,25
Qiqihar City,52,136,1270,3,124,47,149,125,no,33,31
Quanzhou City,18,1775,6138,22,119,25,3,2410,yes,44,51
Qujing City,41,1768,1630,16,104,25,1847,8719,no,36,19
Quzhou City,45,1035,1146,17,119,29,61,1790,no,41,27
Rizhao City,129,831,1671,14,119,35,37,1674,yes,46,26
Rongcheng City,35,1742,1022,13,122,37,17,771,yes,46,15
Rushan City,47,601,477,13,122,37,27,1345,yes,46,6
Sanmenxia City,180,1093,1261,15,111,35,377,7134,no,36,16
Sanming City,13,1469,1713,21,118,26,204,1011,no,43,11
Sanya City,21,1268,435,27,110,18,7,1946,yes,43,46
Shanghai Municipality,46,1652,24965,18,121,31,16,3804,yes,34,614
Shangqiu City,65,831,1804,15,116,34,50,9364,no,36,28
Shangrao City,30,1229,1651,19,118,28,79,7649,no,46,28
Shangri-la City,24,618,101,6,100,28,3459,2034,no,9,5
Shantou City,50,1738,1850,24,117,23,8,4168,yes,58,79
Shanwei City,59,1775,780,22,115,23,8,825,yes,35,9
Shaoguan City,12,1700,1150,21,114,25,57,454,no,42,22
Shaotong City,27,665,709,14,104,27,1932,4949,no,24,15
Shaoxing City,104,2127,3367,18,121,30,12,2935,no,48,82
Shaoyang city,77,142,1387,18,111,27,222,9112,no,35,17
Shennongjia Forestry District,50,900,22,12,111,32,887,24,no,36,23
Shenyang City,90,574,7280,9,123,42,51,640,no,36,31
Shenzhen City,37,1966,17503,24,114,23,1,5697,yes,35,575
Shigatse City,25,377,168,6,89,29,3844,2700,no,76,4
Shijiazhuang City,182,534,5441,15,114,38,80,681,no,36,31
Shiyan City,69,760,1300,16,111,33,290,1376,no,30,39
Shizuishan City,85,480,482,8,106,39,1102,4096,no,41,22
Shouguang City,127,547,807,15,119,37,23,1043,yes,44,13
Shuozhou City,96,440,910,9,112,39,1087,165,no,33,23
Sipsongpanna Prefecture,69,1894,336,20,101,22,555,59,no,36,23
Suining City,95,1127,916,18,106,31,280,2256,no,34,61
Suizhou City,106,672,785,16,113,32,71,1843,no,38,21
Suqian City,82,831,2126,16,118,34,30,582,no,36,27
Suzhou City(Anhui),87,910,1236,16,117,34,28,566,no,33,29
Suzhou City(Jiangsu),73,2055,14504,17,121,31,6,1251,no,34,214
Tai'an City,151,537,3240,10,117,36,167,1658,no,37,32
Taicang City,47,1742,626,17,121,31,4,581,no,33,14
Taichung City,30,2383,3775,22,121,24,90,1240,yes,44,106
Tainan City,55,1638,2378,24,120,23,28,860,yes,45,127
Taipei City,63,1775,5413,22,122,25,11,9952,yes,41,352
Taitung County,15,2383,254,22,121,23,143,63,yes,44,22
Taiyuan City,138,402,2735,12,113,38,788,618,no,36,23
Taizhou City,55,581,3558,17,121,29,14,1378,yes,39,78
Taizhou City,70,1742,3656,19,120,32,8,801,no,36,29
Tangshan City,166,547,6225,13,118,40,26,591,yes,34,24
Taoyuan City,21,2383,2990,23,121,25,111,1727,yes,44,94
Tianjin Municipality,121,574,16538,15,117,39,3,1298,yes,34,422
Tianmen City,62,1200,440,16,113,31,27,928,no,38,16
Tieling City,79,708,745,9,124,42,57,205,no,33,31
Tongchuan city,98,480,325,13,109,35,717,7336,no,43,14
Tongliao City,82,440,1877,9,122,44,177,52,no,36,31
Tongling City,58,1584,721,17,118,31,26,2632,no,45,11
Urumqi City,170,409,2680,9,88,44,836,2123,no,40,139
Wafangdian City,122,592,936,11,122,40,120,270,yes,44,33
Weifang City,146,288,5100,15,119,37,31,1082,no,42,47
Weihai City,49,1670,3002,14,122,38,22,1473,yes,41,41
Weinan City,117,537,1469,16,110,35,355,2022,no,39,20
Wendeng City,41,708,830,13,122,37,45,360,yes,46,25
Wenshan Prefecture,60,1000,190,18,104,23,1259,5216,no,24,10
Wenzhou City,50,1742,4620,20,121,28,9,774,yes,41,24
Wuhai City,113,480,259,10,107,40,1092,317,no,36,23
Wuhan City,128,1428,10905,17,114,31,15,4413,no,42,331
Wuhu City,56,1742,2457,17,118,31,8,610,no,36,27
Wujiang City,55,1742,1540,18,121,31,7,652,no,36,28
Wuxi City,69,2055,8518,18,120,32,5,1360,no,36,198
Xiamen City,54,1775,3466,22,118,24,2,9685,yes,41,162
Xiangtan City,67,142,1703,19,113,28,68,4851,no,36,30
Xiangyang City,118,672,3400,15,112,32,70,3099,no,41,34
Xianning City,85,1584,1035,18,114,30,28,2493,no,22,15
Xiantao city,78,1200,590,16,113,30,30,1667,no,23,19
Xianyang City,127,537,2156,14,109,34,383,2007,no,40,31
Xiaogan City,101,1200,1460,16,114,31,24,5553,no,34,16
Xilin Gol League,18,250,1003,2,116,44,987,5,no,33,22
Xingtai City,175,534,1668,15,114,37,77,586,no,36,27
Xining City,72,308,1132,7,102,37,2263,3388,no,39,56
Xinyang City,106,537,1878,17,114,32,106,2065,no,40,27
Xinyu City,47,1700,947,19,115,28,63,2041,no,47,16
Xinzhou City,65,1450,680,11,113,38,790,125,no,33,23
Xi’an city,113,558,5810,15,109,34,385,7820,no,43,332
Xuancheng City,54,1742,972,17,119,31,15,210,no,33,14
Xuchang City,82,672,2171,15,114,34,71,5196,no,38,23
Xuzhou City,116,832,5320,16,117,34,36,770,no,36,31
Yaan City,81,1389,518,18,103,30,580,1346,no,41,15
Yanan City,108,510,1199,11,109,37,1070,6300,no,41,13
Yancheng City,88,684,4212,16,120,33,1,496,yes,44,24
Yangjiang City,24,1966,1256,24,112,22,4,1180,yes,45,23
Yangquan City,102,480,599,12,114,38,672,314,no,33,23
Yangzhou City,97,1742,4017,16,119,32,12,676,no,36,31
Yantai City,89,574,6446,14,121,38,4,1962,yes,44,120
Yibin City,69,866,1530,20,105,29,321,707,no,38,29
Yichang City,104,1652,3385,17,111,31,59,1709,no,40,31
Yichun City,36,1469,1621,17,114,28,96,6517,no,51,17
Yilan County,21,1268,565,25,122,25,13,214,yes,41,24
Yinchuan City,81,227,1481,11,106,38,1111,799,no,41,52
Yingkou City,88,878,1500,11,122,41,5,492,yes,44,24
Yingtan City,41,1700,639,19,117,28,40,325,no,36,14
Yiwu City,78,672,1046,17,120,29,73,669,no,33,14
Yixing City,57,1200,1320,17,120,31,34,530,no,33,14
Yiyang City,66,866,1354,15,112,29,81,5632,no,39,17
Yongzhou City,59,1901,1418,19,112,26,103,5372,no,43,19
Yueyang City,77,1638,2886,18,113,29,37,4581,no,35,29
Yuncheng City,119,592,1174,15,111,35,370,374,no,33,30
Yunfu City,15,1469,710,22,112,23,150,3118,no,35,11
Yunlin County,48,1700,715,22,120,24,28,542,yes,46,24
Yuxi City,46,892,1246,18,103,24,1625,3397,no,42,11
Zaozhuang City,148,534,2030,15,118,35,89,2784,no,45,46
Zhangjiagang City,73,581,2230,17,121,32,7,1152,yes,44,24
Zhangjiajie City,64,1071,448,18,110,29,164,1632,no,42,12
Zhangjiakou City,103,440,1364,10,115,41,716,120,no,33,23
Zhangqiu City,103,401,871,15,118,37,143,737,no,33,29
Zhangzhou City,59,1670,2767,23,118,25,19,388,yes,45,24
Zhanjiang City,29,1674,2450,24,110,21,17,7718,yes,40,38
Zhaoqing City,34,2137,1970,24,112,23,17,1507,no,40,28
Zhaoyuan City,117,480,640,12,120,37,85,1464,yes,43,7
Zhengzhou City,152,689,7315,16,114,35,110,15055,no,42,207
Zhenjiang City,82,1224,3502,17,119,32,23,827,no,36,31
Zhongshan City,45,1966,3010,24,113,23,13,2809,yes,45,25
Zhoukou City,88,910,2082,17,115,34,49,3808,no,42,15
Zhoushan City,25,1450,1095,18,122,30,3,800,yes,46,24
Zhuhai City,41,1966,2025,24,114,22,7,2472,yes,45,82
Zhuji City,104,1742,1027,18,120,30,16,501,no,36,29
Zhumadian City,79,1388,1807,16,114,33,84,2539,no,39,19
Zhuzhou City,52,1638,2335,19,113,28,46,1287,no,35,38
Zibo City,116,288,4130,15,118,37,38,782,no,36,31
Zigong City,118,995,1143,19,105,29,311,1557,no,40,35
Ziyang City,86,808,1270,16,105,30,367,1787,no,39,18
Zunyi City,60,1000,2168,17,107,28,865,3581,no,44,35
